CashID,CustomerID,InvoiceID,Amount,PayDate,PayMethod,Reference,Notes
1,1,1,3000.00,2024-01-20 11:00:00,Cash,,
2,2,2,3200.00,2024-01-18 14:30:00,Cash,,At sale
3,1,4,1800.00,2024-02-20 13:45:00,Cash,,At sale
4,4,5,5000.00,2024-03-12 10:00:00,Bank,TR-2231,
5,5,6,11500.00,2024-04-02 15:00:00,Cash,,
6,7,8,2000.00,2024-05-08 11:00:00,Cheque,CHQ-998,Partial
7,1,10,6500.00,2024-07-20 09:45:00,Cash,,
8,1,,2000.00,2024-08-05 10:30:00,Cash,,On account
9,3,3,500.00,2024-08-15 14:00:00,Cash,,Partial
10,9,,750.00,2024-09-01 11:30:00,Cash,,Settle opening
