InvoiceID,InvoiceNo,CustomerID,InvoiceDate,SubTotal,Discount,Total,Paid,Notes
1,INV-1001,1,2024-01-15 11:00:00,5100.00,100.00,5000.00,3000.00,
2,INV-1002,2,2024-01-18 14:30:00,3200.00,0.00,3200.00,3200.00,Cash
3,INV-1003,3,2024-02-05 10:15:00,2700.00,200.00,2500.00,0.00,Credit 30 days
4,INV-1004,1,2024-02-20 13:45:00,1800.00,0.00,1800.00,1800.00,
5,INV-1005,4,2024-03-10 09:30:00,8400.00,400.00,8000.00,5000.00,Pack lot
6,INV-1006,5,2024-04-02 15:00:00,12000.00,500.00,11500.00,11500.00,Bulk order
7,INV-1007,99,2024-04-15 10:00:00,2000.00,0.00,2000.00,0.00,Bad customer ref
8,INV-1008,7,2024-05-05 12:30:00,4500.00,0.00,4500.00,2000.00,
9,INV-1009,8,2024-06-12 14:00:00,1500.00,0.00,1500.00,0.00,Murree run
10,INV-1010,1,2024-07-20 09:45:00,6800.00,300.00,6500.00,6500.00,
