StockID,ProductID,Quantity,Date,Reference
1,1,100,2023-01-10 09:00:00,Initial stock
2,2,50,2023-01-10 09:00:00,Initial stock
3,3,80,2023-01-10 09:00:00,Initial stock
4,4,500,2023-01-10 09:00:00,Initial stock
5,5,300,2023-01-10 09:00:00,Initial stock
6,1,50,2023-02-15 11:30:00,Reorder PO-001
7,2,25,2023-02-15 11:30:00,Reorder PO-001
8,6,60,2023-03-01 10:15:00,Reorder PO-002
9,7,40,2023-03-01 10:15:00,Reorder PO-002
10,8,200,2023-04-05 14:20:00,Reorder PO-003
11,9,75,2023-04-05 14:20:00,Reorder PO-003
12,10,800,2023-05-10 13:00:00,Reorder PO-004
